qna_id;question;answer;tags;query_1;query_2;query_3;query_4;query_5;query_6;query_7;query_8;query_9;query_10;query_11;query_12;query_13;query_14;query_15;query_16;query_17;query_18;query_19;query_20
11;Kayıt yenilemeden öğrenci durum belgesi alabilir miyim?;"Öğrenci Belgesi ve Öğrenci Durum Belgesi sadece ""Devamlı Öğrenci"" statüdeki öğrencilere verilebilir. Kayıt yenilemediğiniz takdirde Öğrenci Belgesi alamazsınız. Kayıt yenilemeyen öğrenciler AKSİS'ten ""Öğrenci Kayıt Yenilemedi Belgesi"" alabilirler.";BELGE_TALEBI-OGRENCI_DURUM_BELGESI-DESTEK;Kayıt yenileme işlemi yapmadan öğrenci belgesi alınabilir mi?;Kayıt yenileme öncesinde öğrenci durum belgesi temin edebilir miyim?;Öğrenci durum belgesini kayıt yenilemeden alma imkanım var mı?;Kayıt yenilemeden önce öğrenci belgesi alabilir miyim?;Kayıt yenileme yapılmadan öğrenci durum belgesi nasıl alınır?;Kayıt yenilemeden öğrenci durum belgesi alma şansım var mı?;Kayıt yenileme işlemini beklemeden öğrenci belgesi alabilir miyim?;Öğrenci durum belgesini kayıt yenileme dönemi gelmeden alabilir miyim?;;;;;;;;;;;;
12;Sınav merkezi tercih tarihlerini kaçırdım nerede sınava gireceğim?;Sınav merkez tercihini yapamamış öğrencilerimiz bir önceki sınavda hangi merkezi tercih ettiyse yine aynı şekilde o merkez seçilir. Yeni eğitim öğretim yılında kayıt olan ve ilk defa sınava girip tercihini bildirmeyen öğrencilerimizin sınav merkezi AKSİS’ ten bildirdikleri ikamet şehirleri (MERNİS ADRESİ) olarak belirlenecektir.;SINAV_HAKKINDA_BILGI-DIGER-BILGI;Sınav merkezi seçimini yapamadım, sınav yeri belirlemesi nasıl olacak?;Sınav merkezi tercih süresini geçirdim, sınavım hangi merkezde olacak?;öerkes tercih tarihini kaçırdım sınav merkezim neresi olacak?;Sınav merkezi tercihi yapmadım, bu durumda sınav yerim nasıl atanır?;Sınav merkezi seçme tarihini kaçırdım, sınav yerim neresi olur?;sınav merkez tercih zamanını kaçırdığım için sınav merkezim otomatik olarak nereye belirlenecek?;Sınav merkezi belirleme tarihlerini kaçırdım, sınavımı nerede vereceğim?;Sınav merkezi tercihini yapmak için geç kaldım, sınav yerim nereye atanacak?;Sınav yeri tercihi yapmayı unuttum ne yapmalıyım? ;;;;;;;;;;;
13;AUZEF' te dört yanlış bir doğruyu götürüyor mu?;"YÖK kararıyla ülkemizdeki tüm Açık Öğretim programlarında dört yanlış bir doğruyu götürürken, uzaktan öğretim programlarında yanlış cevaplar dikkate alınmaz.
Açık öğretim programlarında  doğru cevap sayısından yanlış cevap sayısının dörtte biri çıkarılarak test ham puanı hesaplanır, dört yanlış bir doğru cevabı götürür. Her hatalı cevap 0,25 doğruyu siler, bu da 1.25 puana denk gelir.";YENI_KAYIT-KAYIT_BILGILENDIRMESI-BILGI;AUZEF sınavlarında dört yanlış bir doğruyu iptal ediyor mu?;sınavda yanlış cevaplar doğru cevapları etkiliyor mu?;AUZEF sınav sisteminde dört yanlışın bir doğruyu götürdüğü doğru mu?;AUZEF'te dört yanlışın bir doğruyu silme kuralı var mı?;AUZEF sınavlarında dört yanlış bir doğru cevabı ortadan kaldırıyor mu?;AUZEF'te verilen dört yanlış cevap bir doğruyu götürüyor mu?;AUZEF sınav politikasında dört yanlış ile bir doğru iptal ediliyor mu?;AUZEF'te yapılan dört yanlış, bir doğru cevabı etkisiz hale getiriyor mu?;;;;;;;;;;;;
14;Kayıt olduğum program hakkında bilgiye nereden ulaşabilirim?;"auzef.istanbul.edu.tr de yer alan  ‘Programlar’ sekmesinden  kayıt olunan programın ismine tıklanır. Kayıt olduğunuz AUZEF programı hakkındaki genel bilgiye  bölüm sayfalarından ulaşabilirsiniz. 
Bu sayfada;
- Program Hakkında genel bilgi
- Dersler
- Akademik Kadro
- Mezuniyet Şartları gibi bilgiler bulunmaktadır.";YENI_KAYIT-KAYIT_BILGILENDIRMESI-BILGI;Kaydolduğum programa ilişkin detaylara nereden ulaşırım?;Kayıt olduğum eğitim programı hakkında bilgi almak için hangi kaynakları kullanabilirim?;Üye olduğum programın bilgilerine nasıl erişebilirim?;Kayıt olduğum kursun ayrıntılarına nereden bakabilirim?;Kayıtlı olduğum programla ilgili bilgilere ulaşmanın yolları nelerdir?;Kayıt olduğum programın içeriği ve detaylarını nereden görebilirim?;Programım hakkında daha fazla bilgiye nereden erişebilirim?;Kaydımı gerçekleştirdiğim programın detaylı bilgilerini nereden öğrenebilirim?;;;;;;;;;;;;
15;AGNO nasıl hesaplanır?;"AGNO; öğrencinin ilk yarıyıldan itibaren aldığı tüm derslerin başarı notlarının kredileriyle çarpımları toplamının ilk yarıyıldan itibaren alınan derslerin kredileri toplamına bölünmesiyle hesaplanır. Alt yarıyıla ait dersin izleyen yarıyılda tekrar edilmesi durumunda alınan not, dersin tekrar edildiği mevcut yarıyıl AGNO hesabına katılır. Hesaplama sonucu, virgülden sonra iki hane olacak şekilde yuvarlatılır.";SINAV_HAKKINDA_BILGI-HARF_NOTU_SHB-BILGI;AGNO hesaplama yöntemi nedir?;AGNO'yu nasıl hesaplayabilirim?;Genel Not Ortalaması (AGNO) hesaplaması nasıl yapılır?;AGNO hesaplamak için hangi formül kullanılır?;AGNO değerini bulmak için ne yapmalıyım?;AGNO'nun nasıl hesaplandığını öğrenmek istiyorum.;AGNO hesaplamasını nasıl yaparım?;AGNO'nun hesaplanma prosedürü nedir?;;;;;;;;;;;;
16;Ağırlık Not Ortalaması (ANO) nasıl hesaplanır?;"ANO; öğrencinin ilgili yarıyılda aldığı derslerin başarı notlarının, kredileriyle çarpımları toplamının ilgili yarıyıldaki kredi toplamına bölünmesiyle hesaplanır.
Dönem notunu hesaplama işlemi, öğrenci otomasyon sistemi tarafından,(AKSİS) sınavların açıklandığı dönemde yönetmelik esaslarına göre otomatik gerçekleştirilir.";SINAV_HAKKINDA_BILGI-HARF_NOTU_SHB-BILGI;ANO hesaplama işlemi nasıl gerçekleştirilir?;Ağırlıklı Not Ortalaması (ANO) nasıl hesaplanır?;ANO hesaplamak için kullanılan yöntem nedir?;ANO'yu hesaplama kılavuzu var mı?;ANO değerimi nasıl hesaplarım?;ANO hesaplaması nasıl yapılır?;ANO'yu bulmak için hangi formüle ihtiyacım var?;Ağırlıklı Not Ortalaması hesaplarken nelere dikkat etmeliyim?;;;;;;;;;;;;
17;AGNO VE ANO nedir?;AGNO: Ağırlıklı genel not ortalamasını, ANO: Ağırlıklı not ortalamasını ifade eder.;SINAV_HAKKINDA_BILGI-HARF_NOTU_SHB-BILGI;AGNO ve ANO'nun tanımları nelerdir?;AGNO ve ANO kavramları ne anlama gelir?;AGNO ve ANO terimlerinin açıklamaları nedir?;AGNO ve ANO neyi ifade eder?;AGNO ve ANO hakkında genel bilgi verir misiniz?;AGNO ve ANO'nun anlamları nelerdir?;AGNO ve ANO hakkında bilgilendirme yapar mısınız?;AGNO ve ANO'nun tanımı nedir ve ne işe yarar?;AGNO ve ANO farkı nedir?;;;;;;;;;;;
18;Sınavsız İkinci Üniversite programlarına kayıt olurken evrak göndermem gerekiyor mu?;Sınavsız İkinci Üniversite kapsamında kayıt olacak adayların YÖKSİS'te eğitim bilgilerinin bulunması gerekmektedir. Adaylar YÖKSİS eğitim bilgileri ile basvuru.istanbul.edu.tr adresinden başvuru yaparak herhangi bir evrak göndermeden ve fakülteye gelmeden sistemden kayıt işlemlerini tamamlayabilirler. Öğrenci adayları E-Devlet sisteminden de eğitim durumlarını kontrol edebilirler.;YENI_KAYIT-KAYIT_BILGILENDIRMESI-DESTEK;Sınavsız İkinci Üniversiteye kayıt için hangi belgeleri sunmalıyım?;İkinci Üniversite programlarına kaydolurken gerekli evraklar nelerdir?;Sınavsız İkinci Üniversite kaydı için belge gönderimi zorunlu mu?;İkinci Üniversite programlarına başvururken hangi dokümanları göndermem gerekiyor?;Sınavsız İkinci Üniversiteye başvuru esnasında evrak gönderme işlemi nasıl yapılır?;İkinci Üniversite kaydında istenen belgeler nelerdir ve nereye gönderilmeli?;Sınavsız İkinci Üniversite programları için başvuru belgeleri hangileridir?;İkinci Üniversite kayıtları için gerekli evraklar ve gönderim süreci nasıl işler?;sınavsız ikinci üniversite kaydı yaptırmak için fakülteye gelmeli miyim?;;;;;;;;;;;
19;Sınavsız İkinci Üniversite kapsamında ne kadar harç ücreti ödemem gerekir?;"Sınavsız İkinci Üniversite programlarının harç ücreti ile ilgili ayrıntılı bilgiyi ""https://auzef.istanbul.edu.tr/tr/content/donem-baslangici/materyal-ucretleri"" buradan inceleyebilirsiniz.";YENI_KAYIT-KAYIT_BILGILENDIRMESI-DESTEK;Sınavsız İkinci Üniversite için ödenecek harç miktarı nedir?;İkinci Üniversite programlarının harç ücretleri ne kadar?;Sınavsız İkinci Üniversiteye kayıt olurken hangi ücretler talep edilir?;İkinci Üniversite eğitimi için ödemem gereken toplam tutar nedir?;Sınavsız İkinci Üniversite harç bedeli ne kadar ve nasıl ödenir?;Sınavsız İkinci Üniversite kaydı için gerekli harç ücreti miktarı ne kadardır?;İkinci Üniversiteye kayıt için ödemem gereken harç ücreti nedir?;Sınavsız İkinci Üniversite programlarına kayıt harcı ne kadar ve ödeme yöntemleri nelerdir?;Sınavsız İkinci Üniversite harcı ödeme bilgileri nedir?;;;;;;;;;;;
20;Sınavsız İkinci Üniversite kapsamında uzaktan eğitim programlarına kayıt olabilir miyim?;Sınavsız İkinci Üniversite kapsamında sadece açık öğretim programlarına kayıt yapılmaktadır. Uzaktan öğretim programlarına ikinci üniversite kapsamında kayıt yapılmamaktadır. Uzaktan öğretim programlarına kayıt olmak için ÖSYM'nin düzenlediği YKS sınavına girip ilgili programa yerleştirilmiş olmanız gerekmektedir.;YENI_KAYIT-KAYIT_BILGILENDIRMESI-BILGI;Sınavsız İkinci Üniversite için uzaktan eğitim seçenekleri mevcut mu?;Uzaktan eğitim yoluyla Sınavsız İkinci Üniversite programlarına katılabilir miyim?;Sınavsız İkinci Üniversite bünyesinde uzaktan eğitim imkanı var mı?;Sınavsız İkinci Üniversiteye kayıt olurken online programları tercih edebilir miyim?;Sınavsız İkinci Üniversite kapsamında sunulan uzaktan eğitim kurslarına nasıl kaydolunur?;Sınavsız İkinci Üniversite uzaktan eğitimle alınabilecek dersler var mı?;İkinci Üniversite programlarında uzaktan eğitim seçeneği sunuluyor mu?;Sınavsız İkinci Üniversite programları içinde online derslere kayıt olma imkanım var mı?;;;;;;;;;;;;
21;Sınavsız İkinci Üniversite kapsamında kayıt olmak için nasıl başvuru yapabilirim?;"Daha önce ÖSYM kılavuzunda yer alan herhangi bir yükseköğretim kurumundan mezunsanız ya da öğrenciliğiniz devam ediyorsa ""Sınavsız İkinci Üniversite"" kapsamında aynı düzey ya da alt düzeydeki programlara kayıt olabilirsiniz. Kayıt tarihleri arasında basvuru.istanbul.edu.tr adresinden sınavsız ikinci üniversite başvurusu için hesap oluşturulur. Hesap aktivasyon işlemi tamamlanır. Aynı sisteme giriş yapılarak bilgi güncelleme ve tercih işlemleri gerçekleştirilir. Fakülte onayından sonra materyal ücreti yatırılarak kayıt tamamlanır.UYARI: Sistemler sadece kayıt tarihleri içerisinde aktif olmaktadır. Sınavsız İkinci Üniversite hakkında ayrıntılı bilgi için ""ikinciuniversite.istanbul.edu.tr"" ikinciuniversite.istanbul.edu.tr adresini ziyaret ediniz.";YENI_KAYIT-KAYIT_BILGILENDIRMESI-BILGI;Sınavsız İkinci Üniversiteye kaydolma süreci nedir?;Sınavsız İkinci Üniversite programlarına başvuru işlemi nasıl yapılır?;Sınavsız İkinci Üniversiteye nasıl kayıt olunur?;Sınavsız İkinci Üniversite programlarına başvurmak için gereken adımlar nelerdir?;Sınavsız İkinci Üniversite başvuru yöntemi nedir?;Sınavsız İkinci Üniversiteye kayıt için nereye başvurmalıyım?;Sınavsız İkinci Üniversiteye başvurmak için ne yapmam gerekiyor?;Sınavsız İkinci Üniversite programlarına nasıl kaydolabilirim?;;;;;;;;;;;;
22;Kayıt zamanında duyurulara nasıl ulaşabilirim?;"Kayıt tarihleri, duyurular, kılavuzlar ""auzef.istanbul.edu.tr"" auzef.istanbul.edu.tr web sayfamızda yayınlanır. Ayrıca tüm duyurularımız gibi kayıt tarihleri de sosyal medya hesaplarımızdan duyurulmaktadır. Duyurulardan anında haberdar olmak için sosyal medya hesaplarımızı takibe alabilirsiniz. Sosyal Medya Hesaplarımız; ""https://www.facebook.com/acikveuzaktanegitim/""  ""https://www.facebook.com/acikveuzaktanegitim/"" FACEBOOK ""https://twitter.com/acikveuzaktan""  ""https://twitter.com/acikveuzaktan"" TWITTER ""https://www.instagram.com/acikveuzaktan/""  ""https://www.instagram.com/acikveuzaktan/"" INSTAGRAM ""https://www.youtube.com/@acikveuzaktan""  ""https://www.youtube.com/@acikveuzaktan""YOUTUBE";;Kayıt dönemi duyurularına nereden erişirim?;Kayıt dönemindeki duyurulara nasıl ulaşırım?;Kayıt zamanındaki duyuruları nereden takip edebilirim?;Kayıt süreci ile ilgili duyurulara ulaşma yolları nelerdir?;Kayıtlarla ilgili duyurulara nasıl erişebilirim?;Kayıt dönemi bilgilendirmelerine nasıl ulaşabilirim?;Kayıt süresince yapılan duyuruları nereden öğrenebilirim?;Kayıt zamanındaki önemli duyuruları görüntüleme yöntemi nedir?;kayıt tarihlerine nereden erişirim?;kalvuzlara nerden erişirim?;;;;;;;;;;
23;Hesap Oluşturma işlemini nasıl ve nereden yapabilirim?(YKS, DGS, Lisans Tamamlama, YÖS kaydıyla fakülteye kayıt olan öğrenciler);"Öğrenciler AKSİS' te hesap oluşturmak için aksis.istanbul.edu.tr adresine girerek ana sayfada ""Hesap Oluştur"" butonuna tıklamalı ve açılan sayfada yer alan bilgileri eksiksiz doldurmalıdır.  Kullanıcı adı ve hesap doğrulama linki beyan edilen mail adresine gönderilmektedir. Bilgilerinizin doğru olduğuna eminseniz ve hata alıyorsanız çağrı merkezimiz 0212 440 00 44 telefon numarasından bize ulaşabilirsiniz.";YENI_KAYIT-KAYIT_BILGILENDIRMESI-DESTEK;YKS, DGS, Lisans Tamamlama, YÖS kayıtları için hesap oluşturma adımları nelerdir?;Fakülteye kayıt olan öğrenciler için hesap açma işlemi nasıl yapılır?;YKS, DGS, Lisans Tamamlama ve YÖS ile kaydolanlar hesap oluşturma sürecini nasıl işletebilir?;YKS, DGS, Lisans Tamamlama, YÖS kaydıyla üniversiteye kaydolan öğrenciler hesap nasıl açar?;Fakülteye kayıt sonrası hesap oluşturma işlemi için yönergeler nelerdir?;YKS, DGS, Lisans Tamamlama ve YÖS kaydı ile fakülteye kayıt olanlar için hesap açma kılavuzu nerede?;Üniversite kaydı sonrasında hesap oluşturma süreci nasıl ilerler?;YKS, DGS, Lisans Tamamlama, YÖS kaydı olan öğrencilerin hesap oluşturma rehberi nedir?;Hesap Oluşturmak istiyorum;;;;;;;;;;;
